id	filename	md5	size	state
bb47dbbf-75f5-4bbf-bd1a-ca81383f211b	2beab6d3-563d-421f-bf4a-7e1f843ec637.rna_seq.augmented_star_gene_counts.tsv	1b6d55b7b00ed84a78c2704a3581775c	4226091	released
a5407526-9c45-427b-abcc-65d6e1f87158	c208cf0f-3922-4159-a7dd-76dccf9ff396.rna_seq.augmented_star_gene_counts.tsv	977894d85184f34de20c1e64f29b22d1	4229240	released
b53ceb0c-a338-46e2-a0e6-224dec5ea807	05ca3ffd-a4d9-4667-80e2-d15125e88f7c.rna_seq.augmented_star_gene_counts.tsv	69d2dbba24a9e6dcd8d1a224289dc053	4244751	released
254bed99-398d-4c34-a804-67516d257e70	c63de407-f025-4939-9633-6550724be88c.rna_seq.augmented_star_gene_counts.tsv	82f16f580abc01b23457c00bbcd85eb4	4210733	released
6d0c282d-43d7-44fb-94e6-25771385e326	d4422306-b68c-4687-9131-02a60a2d4c42.rna_seq.augmented_star_gene_counts.tsv	552ee233c6cb65b341ebd50ae1236118	4263467	released
306febc7-f9b2-493a-9520-b9700d0f3e47	04c4affd-ca5d-4ea4-95d1-a6502e80d1af.rna_seq.augmented_star_gene_counts.tsv	2f1039985e94678936c051c4119da1cd	4247685	released
fdcad604-c1b4-40ff-a652-3c1e5fe5f9a1	2301103f-5cbe-4cb6-b5da-0b83b39e4616.rna_seq.augmented_star_gene_counts.tsv	b1e1c46c723cd8d97d6448d933348b53	4221999	released
aaa72a07-5214-4145-9fb5-99c22b7c248a	f99ac82f-4fe6-4a9a-9d49-67c42cf66208.rna_seq.augmented_star_gene_counts.tsv	0b040ed97893575b9e567491d82824f5	4233406	released
4b11527c-fb98-4ad4-aaac-6f0c6c1d185c	78e95f3e-1067-48a8-9429-dfdd6f587066.rna_seq.augmented_star_gene_counts.tsv	6d0cc74da5bd27143b1a5fce6fbeeee5	4219964	released
b06a3383-3a16-4f91-91c4-71cad60dae4b	897e33bc-3862-47bc-8277-a9b1b5371802.rna_seq.augmented_star_gene_counts.tsv	0ca130d5ecf485bfd517f70aa3326719	4245425	released
5c32fbb8-55ee-4bc9-a0db-d8ac0b04bdc4	4966ebc7-b3d5-49d1-885d-f6ae4a8781e6.rna_seq.augmented_star_gene_counts.tsv	c5144e55397649f3223f805b5d73d5d5	4220045	released
ef2621f5-ec61-42ee-879f-9d7615372a5e	73fc90cb-2b56-4a6b-8083-42f6647a2478.rna_seq.augmented_star_gene_counts.tsv	2c7c0763767cfe71f81fcd644e3f8c13	4248351	released
df452e00-a7e9-4045-83fb-623885a542d4	5444c7d2-9c7e-4b9e-a8ee-7d64c375be17.rna_seq.augmented_star_gene_counts.tsv	4af0fb0fff41735de9f66e7aef844b2b	4242302	released
f1b1d4ff-2556-44c0-80b0-1fd3b659c227	06deab65-ccea-473f-ad0e-7e3928df2e07.rna_seq.augmented_star_gene_counts.tsv	1618b0b86ca8a5699ddee760e8536180	4256229	released
87d1edd3-df03-4046-a888-86baa85639b6	8ce815e6-3c63-4cbf-8480-4f07867f18da.rna_seq.augmented_star_gene_counts.tsv	872ff233eaee490ee0d78b06b3d83cb6	4254085	released
beb3712d-76e3-4c3a-becb-c94048ea8a7f	7977a11b-246f-4c4c-a200-ee35d2d51fc5.rna_seq.augmented_star_gene_counts.tsv	a5d8eb7381258193c120fe312b79ee56	4239333	released
15998b11-5041-4e2d-94d9-cf714c796c13	22d87348-bca7-4428-b8e2-2f161d77bcc5.rna_seq.augmented_star_gene_counts.tsv	3cdbc28b5bfcb065f57a3f4584ad6cec	4248837	released
dfc3bc40-b667-4f75-a932-4074c0b0c408	484f0a13-a636-484b-9880-5066955dee6e.rna_seq.augmented_star_gene_counts.tsv	e493bfaf02ca6ab9c2322feb873d9156	4221024	released
2ab0f01f-2f66-4489-9de7-2a0d61b6ea04	4822db97-46d7-4302-bef9-63086b777e9c.rna_seq.augmented_star_gene_counts.tsv	6ce1dc70e3830a2b4dd0ad2a6c0b55ed	4245788	released
